year;district_nr;district_name;pop
1918;101;Bezirk Affoltern;13524
1918;102;Bezirk Andelfingen;18338
1918;103;Bezirk Bülach;25105
1918;104;Bezirk Dielsdorf;13533
1918;105;Bezirk Hinwil;36655
1918;106;Bezirk Horgen;46054
1918;107;Bezirk Meilen;27643
1918;108;Bezirk Pfäffikon;18650
1918;109;Bezirk Uster;20944
1918;110;Bezirk Winterthur;67508
1918;111;Bezirk Zürich;243709
1918;201;Amtsbezirk Aarberg;19174
1918;202;Amtsbezirk Aarwangen;28690
1918;203;Amtsbezirk Bern;131711
1918;204;Amtsbezirk Biel;34886
1918;205;Amtsbezirk Büren;12802
1918;206;Amtsbezirk Burgdorf;32390
1918;207;District de Courtelary;26223
1918;208;District de Delémont;21959
1918;209;Amtsbezirk Erlach;7915
1918;210;District des Franches-Montagnes;11305
1918;211;Amtsbezirk Fraubrunnen;14429
1918;212;Amtsbezirk Frutigen;13446
1918;213;Amtsbezirk Interlaken;28460
1918;214;Amtsbezirk Konolfingen;30999
1918;215;Bezirk Laufen;8683
1918;216;Amtsbezirk Laupen;9401
1918;217;District de Moutier;18624
1918;218;District de la Neuveville;4484
1918;219;Amtsbezirk Nidau;14614
1918;220;Amtsbezirk Niedersimmental;12157
1918;221;Amtsbezirk Oberhasli;6568
1918;222;Amtsbezirk Obersimmental;7536
1918;223;District de Porrentruy;25381
1918;224;Amtsbezirk Saanen;5933
1918;225;Amtsbezirk Schwarzenburg;11135
1918;226;Amtsbezirk Seftigen;21560
1918;227;Amtsbezirk Signau;25061
1918;228;Amtsbezirk Thun;40220
1918;229;Amtsbezirk Trachselwald;24414
1918;230;Amtsbezirk Wangen;18530
1918;301;Amt Entlebuch;16851
1918;302;Amt Hochdorf;22168
1918;303;Amt Luzern;72439
1918;304;Amt Sursee;31844
1918;305;Amt Willisau;31801
1918;400;Bezirk Uri;23601
1918;501;Bezirk Einsiedeln;8269
1918;502;Bezirk Gersau;2055
1918;503;Bezirk Höfe;5633
1918;504;Bezirk Küssnacht;4070
1918;505;Bezirk March;13204
1918;506;Bezirk Schwyz;26239
1918;600;Bezirk Obwalden;17486
